"","CNPJ_CIA","CD_CVM","DT_REFER","DT_INI_EXERC","DT_FIM_EXERC","DENOM_CIA","VERSAO","GRUPO_DFP","MOEDA","ESCALA_MOEDA","ORDEM_EXERC","CD_CONTA","DS_CONTA","VL_CONTA","COLUNA_DF","source_file"
"21","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.08.01","Ativos Não-Correntes a Venda",1624000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"22","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.08.02","Ativos de Operações Descontinuadas",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"23","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.08.03","Outros",7603000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"24","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.08.03.01","Depósitos Vinculados a Class Action",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"25","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.08.03.02","Adiantamento a fornecedores",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"26","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.01.08.03.03","Outros ativos",7603000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"27","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02","Ativo Não Circulante",893809000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"28","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01","Ativo Realizável a Longo Prazo",129735000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"29","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.01","Aplicações Financeiras Avaliadas a Valor Justo através do Resultado",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"30","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.01.01","Títulos Designados a Valor Justo",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"31","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.02","Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"32","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.03","Aplicações Financeiras Avaliadas ao Custo Amortizado",11661000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"33","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.04","Contas a Receber",8942000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"34","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.04.01","Clientes",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"35","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.04.02","Outras Contas a Receber",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"36","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.05","Estoques",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"37","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.06","Ativos Biológicos",0,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"38","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.07","Tributos Diferidos",26533000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
"39","33.000.167/0001-01",9512,2023-12-31,NA,2023-12-31,"PETROLEO BRASILEIRO S.A. PETROBRAS",2,"DF Consolidado - Balanço Patrimonial Ativo","REAL","MIL","ÚLTIMO","1.02.01.07.01","Imposto de renda e contribuição social diferidos",4672000,NA,"dfp_cia_aberta_BPA_con_2023.csv"
